"%IncMSE","IncNodePurity","variable"
4.47947714983122,356.991521294626,"Roadway.Relation_OFF.ROADWAY_mean"
4.07758690082879,20.0494022521006,"Roadway.Relation_ON.ROADWAY_mean"
-1.46923006800031,3.14220926117888,"Roadway.Relation_SHOULDER_mean"
3.32260327763902,393.105944508028,"Roadway.Part_1...MAIN.PROPER.LANE_mean"
6.75167769559916,3759.11430937227,"Roadway.Part_2...SERVICE.FRONTAGE.ROAD_mean"
1.34169848802814,55.2269013844511,"Roadway.Part_3...ENTRANCE.ON.RAMP_mean"
-0.709044253128184,64.8662138971297,"Roadway.Part_4...EXIT.OFF.RAMP_mean"
-2.9079623549631,815.572881882416,"Roadway.Part_5...CONNECTOR.FLYOVER_mean"
-2.65832452797788,43.3282793225955,"Roadway.Part_98...OTHER..EXPLAIN.IN.NARRATIVE._mean"
4.35559046122752,3022.52045170471,"Roadway.Type_2.LANE..2.WAY_mean"
-0.161136699499306,1365.29303969147,"Roadway.Type_4.OR.MORE.LANES..DIVIDED_mean"
0.29206792923406,660.361465446289,"Roadway.Type_4.OR.MORE.LANES..UNDIVIDED_mean"
-1.70094625918476,0.27325038520771,"Roadway.Type_OTHER.ROAD.TYPE_mean"
5.18754156012826,477.802613306238,"Light.Condition_1...DAYLIGHT_mean"
6.91079406255246,749.903464431873,"Light.Condition_2...DARK..NOT.LIGHTED_mean"
8.38001696161533,9541.13234013503,"Light.Condition_3...DARK..LIGHTED_mean"
-1.03922805574487,68.2150877515919,"Light.Condition_4...DARK..UNKNOWN.LIGHTING_mean"
-3.13421040246714,79.9553056256087,"Light.Condition_5...DAWN_mean"
-7.16880378590986,124.945248734535,"Light.Condition_6...DUSK_mean"
-2.44990564841466,3.52513886474398,"Light.Condition_98...OTHER..EXPLAIN.IN.NARRATIVE._mean"
-3.47960838566499,20.6980825985049,"Light.Condition_99...UNKNOWN_mean"
5.04106306815793,5786.59227670728,"Speed.Limit_unbiased_mean"
-0.665480866630766,19.5515708142906,"road_classFRONTAGE...ACCESS"
-0.18954765686774,750.044005721589,"road_classFRONTAGE...LOCAL"
0.055311864695866,2191.27743690899,"road_classFRONTAGE...MAJOR"
-0.852912510190545,1583.72439693694,"road_classFRONTAGE...RAMP"
1.42755338146549,11.1080244157069,"road_classFRONTAGE...RAMP...LOCAL"
7.32664185348991,559.913287636619,"road_classLOCAL"
1.95177929574808,50.1033398955639,"road_classLOCAL...ACCESS"
-1.58674045595825,9.0007328796339,"road_classLOCAL...PRIVATE"
2.26899592163142,2073.79619770773,"road_classMAJOR"
7.63982632462682,247.078628024534,"road_classMAJOR...ACCESS"
4.65898580549489,981.543425376331,"road_classMAJOR...LOCAL"
-3.33500825553511,178.398118803938,"road_classMAJOR...LOCAL...ACCESS"
-2.83234304526991,11.2309570770119,"road_classMAJOR...LOCAL...PRIVATE"
0.0800885157198701,19.9908338566002,"road_classMAJOR...PRIVATE"
-2.77749406438589,395.220783710261,"road_classOTHER"
-1.08363041207745,56.4624275422368,"road_classRAMP"
-0.0658929359070873,38.8845822187302,"road_classRAMP...LOCAL"
-1.15892997958205,571.330366805557,"road_classRAMP...MAJOR"
2.236128630908,106.501254794475,"road_classTOLLWAY...RAMP"
