"Estimate","Std..Error","z.value","Pr...z..","variable"
0.150902255085968,0.0339433012232411,4.44571534434739,8.75998798366775e-06,"n_roads"
-0.094329609333753,0.0499230889129488,-1.88949865458518,0.0588250428842575,"n_street_names"
0.0179242133437957,0.00724050662622171,2.47554684625005,0.013303230794089,"n_transit_routes_400ft"
0.00251798270040215,0.0191283775449132,0.13163597876976,0.895272226196352,"n_transit_stops_400ft"
0.0628362770322882,0.0300191127827934,2.09320899944469,0.0363305017414654,"n_transit_stops_closest"
0.000266246413268733,0.000386140499247398,0.689506575424377,0.490504536778133,"n_transit_trips_closest"
-0.00154882594936697,0.000404867006214623,-3.82551782583619,0.000130497490694439,"sidewalk_dist_50ft"
0.000187487838464732,5.79285068056326e-05,3.23653842992725,0.00120988934227776,"sidewalk_dist_200ft"
0.0481629724522849,0.0548128260319379,0.878680701925891,0.379574425016589,"sidewalk_200ft"
0.00250011529902065,0.000841419449926689,2.97130675935584,0.00296535423346714,"crash_num"
0.0258485028570525,0.00229745907769879,11.2509089315067,2.29217657969974e-29,"crash_injured_num.1"
0.00501723716129883,0.00220605224337968,2.27430568625718,0.02294761352077,"Speed.Limit_amin"
0.0410627800725539,0.00296137091846051,13.8661387591058,1.01600749234938e-43,"Speed.Limit_amax"
-0.0232865437427558,0.00494547534230002,-4.70865632340325,2.49355091970289e-06,"Speed.Limit_mean"
-0.455955101133252,0.10003709462876,-4.55786028997856,5.16773927259958e-06,"n_bikes_mean"
-0.261659818918304,0.0609459793422216,-4.29330731481139,1.76031087030003e-05,"n_peds_mean"
0.105541941703729,0.0316967888386426,3.32973608907219,0.000869283341966078,"Number.of.Entering.Roads_2...THREE.ENTERING.ROADS...T_mean"
-0.138161190705535,0.0944787319217407,-1.46235229765761,0.143644694186323,"Number.of.Entering.Roads_3...THREE.ENTERING.ROADS...Y_mean"
0.573556172112173,0.0444464981388367,12.9044175835983,4.25016729494718e-38,"Number.of.Entering.Roads_4...FOUR.ENTERING.ROADS_mean"
0.554002356374368,0.0576408132337779,9.61128626217436,7.16482776012883e-22,"Number.of.Entering.Roads_97...NOT.APPLICABLE_mean"
0.00194349120292436,0.0666968491006132,0.0291391756751894,0.976753591382344,"Traffic.Control.Type_11...CENTER.STRIPE.DIVIDER_mean"
0.27256874222191,0.230898330828959,1.18047082126297,0.237813008955001,"Traffic.Control.Type_15...CROSSWALK_mean"
0.196403407534353,0.0363608044228096,5.40151436834404,6.60806450663302e-08,"Traffic.Control.Type_17...MARKED.LANES_mean"
-0.0394256834785071,0.158163867470935,-0.249271114249607,0.803151073705014,"Traffic.Control.Type_18...SIGNAL.LIGHT.WITH.RED.LIGHT.RUNNING.CAMERA_mean"
-0.340341614502647,0.578741310900735,-0.588072093856493,0.556483903255135,"Traffic.Control.Type_4...FLAGMAN_mean"
0.47165248993015,0.0486455959960062,9.69568735407976,3.14512733090318e-22,"Traffic.Control.Type_5...SIGNAL.LIGHT_mean"
-0.124379583849507,0.13696223778689,-0.908130488076853,0.363809284226374,"Traffic.Control.Type_6...FLASHING.RED.LIGHT_mean"
0.209511537388112,0.239499602038192,0.874788666056748,0.381688905247712,"Traffic.Control.Type_7...FLASHING.YELLOW.LIGHT_mean"
0.228807575271339,0.0440206056427207,5.19773801224778,2.01728163309976e-07,"Traffic.Control.Type_8...STOP.SIGN_mean"
-0.251089976937999,0.0886297488535145,-2.83302141985075,0.00461102960964883,"Traffic.Control.Type_9...YIELD.SIGN_mean"
0.391892196730308,0.217164896265631,1.80458353752972,0.0711398760923716,"Roadway.Alignment_1...STRAIGHT..LEVEL_mean"
-0.130155309693727,0.0654393686315349,-1.98894507107158,0.0467072661980657,"Roadway.Alignment_2...STRAIGHT..GRADE_mean"
-0.11462653636108,0.0849169302661845,-1.34986669915841,0.177058745187254,"Roadway.Alignment_4...CURVE..LEVEL_mean"
-0.209696102175651,0.306239803411039,-0.684744764854079,0.493504995766814,"Roadway.Alignment_6...CURVE..HILLCREST_mean"
0.0783804144234293,0.136819400049226,0.572875004533194,0.566729329785109,"Roadway.Function_URBAN.COLLECTOR_mean"
0.0880666750911996,0.102251812278403,0.861272510764099,0.389087972001769,"Roadway.Function_URBAN.MINOR.ARTERIAL_mean"
-0.181066575004249,0.105229864593464,-1.72067668911071,0.0853095086890314,"Roadway.Function_URBAN.PRIN.ARTERIAL..IH._mean"
-0.216994721790323,0.106694083951961,-2.03380275412481,0.0419714867492762,"Roadway.Function_URBAN.PRIN.ARTERIAL..OTHER.FREEWAY._mean"
0.0102152825670582,0.0957461206614882,0.106691346829336,0.915033847651931,"Roadway.Function_URBAN.PRIN.ARTERIAL..OTHER._mean"
-0.483569756307098,0.117941548528628,-4.10007976272859,4.13007766465387e-05,"Roadway.Relation_MEDIAN_mean"
-0.285772552503576,0.0610622798946594,-4.68001772938339,2.86850110129717e-06,"Roadway.Relation_OFF.ROADWAY_mean"
0.204013919519702,0.180533927165844,1.13005861403706,0.258451527036486,"Roadway.Relation_ON.ROADWAY_mean"
-0.147710079693237,0.118275441286566,-1.24886517510727,0.211714390866836,"Roadway.Part_1...MAIN.PROPER.LANE_mean"
-0.683469845181529,0.235352630203642,-2.90402467391228,0.00368399125587683,"Roadway.Part_3...ENTRANCE.ON.RAMP_mean"
-0.446118278376873,0.226066935556975,-1.97339021417593,0.0484511216717059,"Roadway.Part_4...EXIT.OFF.RAMP_mean"
0.428660580529553,0.275337319574049,1.5568560818152,0.11950465859345,"Roadway.Part_5...CONNECTOR.FLYOVER_mean"
